Regulon,RMST_Under_minus_Over,pvalue,RMST_Under,RMST_Over
272,-33.7,0.75,602.778193776792,636.460777264536
273,-199,0.0309,358.030303030303,556.894510187193
274,298,0.00745,753.055066855731,454.808745347178
275,143,0.0714,709.26350499866,566.555534595435
276,213,0.0706,797.561242339611,584.482342688409
277,344,0.00549,802.108669926909,458.598126145776
278,19.3,0.862,509.224095590051,489.948160535117
279,68.7,0.505,661.795100021229,593.051372359172
280,-9.39,0.931,614.462790031761,623.852650223312
281,128,0.135,644.942506270409,517.329117066361
282,-50.2,0.614,548.687283362026,598.909896114302
283,127,0.176,669.25924889682,542.23773259696
284,153,0.0596,619.357557723719,466.669944692147
285,-112,0.217,454.81230918538,566.989015000882
286,86.9,0.565,683.279629343629,596.420827378315
287,111,0.509,619.3225,508.811194200145
288,-142,0.265,524.166797471037,666.205355393376
289,324,0.0102,831.727281750311,507.413665854783
290,132,0.1,714.822020120037,583.14248137436
291,139,0.169,695.564160248739,556.214528979031
292,254,0.036,821.748528086302,568.127665801873
293,-12,0.92,551.840314967252,563.833333333333
294,290,0.00238,808.612123668331,519.072265477143
295,158,0.135,719.895925475838,562.252138525199
296,69.3,0.491,636.015185359783,566.764819297343
297,85.9,0.207,548.666385854837,462.723520574838
298,204,0.0411,758.927440613537,554.875202448694
299,158,0.0914,698.544901203378,540.648189352472
300,344,0.00471,801.094688590046,456.803326208235
301,66.3,0.47,627.031578742261,560.728009926532
302,248,0.012,665.122706280788,417.170556957737
303,-237,0.0362,502.253296423108,738.808358797545
304,51.5,0.675,559.890158730159,508.377371090237
305,32.4,0.735,554.325294313092,521.932982361181
306,-81.9,0.519,585.939358001265,667.806375962435
307,247,0.0105,746.061230155509,498.63403888412
308,205,0.106,735.444106434863,530.125365370243
309,192,0.0628,680.914831800298,489.250343670719
310,296,0.0799,784.91551724138,489.022929673459
311,-120,0.391,524.85,644.874766009316
312,-82.3,0.443,472.189300411523,554.525562739464
313,-120,0.183,411.821242854509,532.007884635336
314,-209,0.0636,517.630789042917,726.855287569573
315,140,0.0675,704.703576404311,565.069981325062
316,58.1,0.562,647.058889527137,588.950334364752
317,28.8,0.833,572.697012541642,543.899036270487
318,-205,0.0398,404.084773595142,608.77191382647
319,-163,0.294,570.120742041998,732.889313377727
320,179,0.125,693.613951863208,514.261012231612
321,250,0.167,761.615384615385,511.671865056818
322,230,0.206,704.826071428571,474.625856357884
323,-23.3,0.792,528.765777015698,552.077985498466
324,-303,0.0355,393.6524594684,697.075532386868
325,-7.22,0.945,636.587627434454,643.811941133408
326,145,0.0552,705.09090383755,560.054155159177
327,151,0.0612,634.560606141384,483.681477703894
328,76,0.477,667.593404631215,591.568353944866
329,148,0.111,715.183122748116,567.628660600781
330,95.1,0.433,633.418205472094,538.285554879441
331,-39.5,0.652,613.281782789782,652.737462216266
332,167,0.159,761.56968466482,594.375162544113
333,44,0.5,448.598353909465,404.55521705984
334,58.2,0.551,648.461382826721,590.307068470078
335,141,0.165,630.17846169095,489.671874968201
336,55,0.578,632.633722796021,577.65807824084
337,-165,0.0619,350.811607142857,515.870808038808
338,-112,0.317,455.254333991661,566.791810568924
339,89.6,0.348,606.57952250313,517.00271561914
340,45.5,0.68,655.182754381227,609.643366747998
341,1.68,0.986,568.243258613067,566.567619888113
342,194,0.0607,715.096103638018,521.419593100878
343,51.7,0.613,638.88861866871,587.216398096233
344,84.4,0.397,660.809322627119,576.436979956504
345,93,0.466,640.173092604045,547.203083983345
346,135,0.517,792.829494741696,657.374760391821
347,366,0.0516,912.999983559456,547.341133252818
348,-149,0.0641,390.862767503709,540.071984555985
349,204,0.0679,756.270353679161,552.3235287963
350,154,0.0565,705.17636580687,550.846540464383
351,-78.8,0.599,643.402252649544,722.174164502057
352,280,0.0435,782.827569803922,502.820410299935
353,267,0.0215,808.04570395701,540.947102009037
354,144,0.135,681.443589891369,537.787000261198
355,77.5,0.432,615.938158382638,538.429853658522
356,164,0.0534,743.805548118454,580.028784519468
357,330,0.00368,865.379735508729,535.580895435969
358,290,0.0142,766.389316479748,476.490507701244
359,196,0.0626,761.445899503147,565.899345585016
360,-113,0.251,477.73056711257,591.042833621238
361,-8.85,0.927,556.081493350239,564.927161862474
362,240,0.027,756.46207835495,515.982554020777
363,109,0.232,560.537443181818,451.746601691831
364,157,0.19,701.178131949325,543.724183146014
365,164,0.116,726.722127168548,562.585001465034
366,175,0.0889,730.715111039533,555.794167766165
367,70.1,0.557,563.952062152228,493.813553450226
368,247,0.0434,761.573118794897,514.579266504785
369,150,0.287,717.318860657159,567.328991376015
370,134,0.0742,696.598018833061,562.333992260748
371,135,0.104,699.507813864986,564.286391221973
