,Programs,Regulons
1349,58,741
1350,58,979
1351,58,1019
1352,58,1045
1353,58,1105
1354,58,1130
1355,58,1147
1356,58,1167
1357,58,1227
1358,58,1428
1359,58,1474
1360,58,1528
1361,58,1574
1362,58,1600
1363,58,1632
1364,58,1682
1365,58,1777
1366,58,1792
1367,58,1836
1368,58,1862
1369,58,1952
1370,58,2036
1371,58,2240
1372,58,2253
1373,58,2290
1374,58,2569
1375,58,2757
1376,58,2891
1377,58,3225
1378,58,3235
1379,58,3289
1380,58,3324
1381,58,3332
1382,58,3339
1383,58,3462
1384,58,3636
1385,58,3645
1386,58,3676
1387,58,3711
1388,58,3761
1389,59,88
1390,59,506
1391,59,548
1392,59,627
1393,59,739
1394,59,771
1395,59,785
1396,59,1017
1397,59,1430
1398,59,1566
1399,59,1648
1400,59,1706
1401,59,1788
1402,59,1855
1403,59,2038
1404,59,2094
1405,59,2163
1406,59,2177
1407,59,2186
1408,59,2212
1409,59,2337
1410,59,2374
1411,59,2642
1412,59,2844
1413,59,2888
1414,59,2911
1415,59,2974
1416,59,3112
1417,59,3285
1418,59,3311
1419,59,3313
1420,59,3455
1421,59,3460
1422,60,269
1423,60,272
1424,60,640
1425,60,686
1426,60,694
1427,60,757
1428,60,807
1429,60,861
1430,60,914
1431,60,1023
1432,60,1082
1433,60,1094
1434,60,1098
1435,60,1118
1436,60,1502
1437,60,1507
1438,60,1694
1439,60,1696
1440,60,2063
1441,60,2146
1442,60,2173
1443,60,2191
1444,60,2258
1445,60,2273
1446,60,2353
1447,60,2697
1448,60,2780
1449,60,2881
1450,60,2901
1451,60,2924
1452,60,3102
1453,60,3171
1454,60,3746
1455,61,163
1456,61,577
1457,61,736
1458,61,1015
1459,61,1240
1460,61,1464
1461,61,1567
1462,61,1666
1463,61,1678
1464,61,1693
1465,61,1700
1466,61,1752
1467,61,1763
1468,61,2208
1469,61,2644
1470,61,2764
1471,61,2842
1472,61,2909
1473,61,3104
1474,61,3279
1475,61,3284
1476,61,3287
1477,61,3304
1478,61,3310
1479,61,3315
1480,61,3318
1481,61,3321
1482,61,3329
1483,61,3338
1484,61,3585
1485,62,496
1486,62,839
1487,62,869
1488,62,881
1489,62,907
1490,62,915
1491,62,944
1492,62,948
1493,62,1115
1494,62,1398
1495,62,1705
1496,62,1759
1497,62,2052
1498,62,2085
1499,62,2352
1500,62,2699
1501,62,2704
1502,62,3258
1503,62,3534
1504,62,3762
1505,63,92
1506,63,1433
1507,63,1491
1508,63,1558
1509,63,1573
1510,63,1653
1511,63,1704
1512,63,1789
1513,63,2359
1514,63,2610
1515,63,3041
1516,63,3076
1517,63,3719
1518,63,3730
1519,63,3735
1520,64,49
1521,64,477
1522,64,1494
1523,64,1955
1524,64,2130
1525,64,2167
1526,64,2216
1527,64,2257
1528,64,2295
1529,64,2547
1530,64,3181
1531,64,3465
1532,64,3741
1533,65,260
1534,65,849
1535,65,1224
1536,65,1740
1537,65,2291
1538,65,3064
1539,65,3282
1540,65,3290
1541,65,3331
1542,65,3420
1543,65,3438
1544,65,3667
1545,66,838
1546,66,900
1547,66,1008
1548,66,1074
1549,66,1504
1550,66,1559
1551,66,1871
1552,66,1979
1553,66,2028
1554,66,3170
1555,66,3518
1556,67,711
1557,67,749
1558,67,777
1559,67,806
1560,67,1246
1561,67,1260
1562,67,1577
1563,67,1712
1564,67,2850
1565,67,2931
1566,67,3721
1567,68,94
1568,68,148
1569,68,428
1570,68,607
1571,68,824
1572,68,913
1573,68,2819
1574,68,3353
1575,68,3499
1576,68,3601
1577,69,51
1578,69,552
1579,69,599
1580,69,1267
1581,69,1808
1582,69,1815
1583,69,2306
1584,69,2316
1585,69,2345
1586,70,90
1587,70,105
1588,70,195
1589,70,836
1590,70,1014
1591,70,1221
1592,70,1242
1593,70,1274
1594,70,2035
1595,70,2247
1596,70,2308
1597,70,2341
1598,70,2397
1599,70,2570
1600,70,2673
1601,70,2703
1602,70,2731
1603,70,2860
1604,70,2913
1605,70,2930
1606,70,2991
1607,70,2998
1608,70,3227
1609,70,3275
1610,70,3496
1611,70,3670
1612,71,191
1613,71,394
1614,71,685
1615,71,1137
1616,71,1212
1617,71,1257
1618,71,1512
1619,71,1655
1620,71,1866
1621,71,1881
1622,71,2219
1623,71,2571
1624,71,2581
1625,71,2656
1626,71,2851
1627,71,2906
1628,71,3396
1629,71,3408
1630,71,3553
1631,71,3637
1632,71,3782
1633,72,1223
1634,72,1250
1635,72,1268
1636,72,1710
1637,72,1943
1638,72,2160
1639,72,2176
1640,72,2192
1641,72,2206
1642,72,2230
1643,72,2232
1644,72,2237
1645,72,2246
1646,72,2250
1647,72,2259
1648,72,2263
1649,72,2770
1650,72,3055
1651,72,3450
1652,72,3488
1653,73,451
1654,73,1375
1655,73,1548
1656,73,1795
1657,73,2325
1658,73,2576
1659,73,2613
1660,73,2775
1661,73,2806
1662,73,2895
1663,73,2920
1664,73,3019
1665,73,3407
1666,73,3665
1667,73,3689
1668,73,3732
1669,74,481
1670,74,1040
1671,74,1175
1672,74,1184
1673,74,1357
1674,74,1627
1675,74,1702
1676,74,2073
1677,74,2194
1678,74,2299
1679,74,2540
1680,74,3453
1681,74,3616
1682,74,3739
1683,75,1172
1684,75,1864
1685,75,2378
1686,75,2462
1687,75,2580
1688,75,2648
1689,75,2894
1690,75,3159
1691,75,3657
1692,75,3788
1693,76,1368
1694,76,1814
1695,76,2068
1696,76,2298
1697,76,2301
1698,76,2979
1699,76,3532
1700,76,3701
1701,76,3795
1702,77,1717
1703,77,1959
1704,77,1972
1705,77,2010
1706,77,2405
1707,77,3060
1708,77,3220
1709,77,3431
1710,78,558
1711,78,1213
1712,78,1243
1713,78,1442
1714,78,1957
1715,78,2410
1716,78,2719
1717,78,3334
1718,79,1039
1719,79,1069
1720,79,2307
1721,79,2640
1722,79,2809
1723,79,2921
1724,79,3087
1725,80,128
1726,80,187
1727,80,1022
1728,80,1344
1729,80,1455
1730,80,2171
1731,80,3169
1732,81,810
1733,81,1278
1734,81,1951
1735,81,2169
1736,81,2221
1737,81,2875
1738,82,129
1739,82,184
1740,82,242
1741,82,308
1742,82,342
1743,82,386
1744,82,435
1745,82,746
1746,82,1419
1747,82,1453
1748,82,1476
1749,82,1661
1750,82,1839
1751,82,1891
1752,82,1892
1753,82,1931
1754,82,1977
1755,82,2013
1756,82,2045
1757,82,2111
1758,82,2183
1759,82,2198
1760,82,2249
1761,82,2442
1762,82,2467
1763,82,2469
1764,82,2493
1765,82,2726
1766,82,2919
1767,82,2951
1768,82,2976
1769,82,3050
1770,82,3081
1771,82,3113
1772,82,3268
1773,82,3583
1774,83,0
1775,83,1
1776,83,6
1777,83,8
1778,83,14
1779,83,16
1780,83,22
1781,83,27
1782,83,33
1783,83,41
1784,83,54
1785,83,59
1786,83,79
1787,83,82
1788,83,434
1789,83,587
1790,83,779
1791,83,788
1792,83,845
1793,83,931
1794,83,1439
1795,83,1515
1796,83,1583
1797,83,1779
1798,83,1870
1799,83,2152
1800,83,2178
1801,83,2328
1802,83,2638
1803,83,2651
1804,83,2661
1805,83,3204
1806,83,3470
1807,83,3547
1808,83,3755
1809,84,10
1810,84,64
1811,84,81
1812,84,236
1813,84,483
1814,84,612
1815,84,882
1816,84,891
1817,84,894
1818,84,1029
1819,84,1121
1820,84,1189
1821,84,1280
1822,84,1603
1823,84,1794
1824,84,1805
1825,84,2144
1826,84,2156
1827,84,2157
1828,84,2158
1829,84,2436
1830,84,2579
1831,84,2647
1832,84,3121
1833,84,3153
1834,84,3157
1835,84,3205
1836,84,3207
1837,84,3435
1838,84,3467
1839,84,3520
1840,84,3633
1841,85,119
1842,85,255
1843,85,399
1844,85,511
1845,85,1248
1846,85,1251
1847,85,1286
1848,85,1400
1849,85,1408
1850,85,1449
1851,85,1523
1852,85,1754
1853,85,1802
1854,85,1878
1855,85,1906
1856,85,1928
1857,85,1937
1858,85,1946
1859,85,1962
1860,85,2213
1861,85,2532
1862,85,2759
1863,85,2771
1864,85,2784
1865,85,3078
1866,85,3393
1867,85,3405
1868,85,3437
1869,86,44
1870,86,65
1871,86,876
1872,86,1307
1873,86,1468
1874,86,1630
1875,86,1652
1876,86,1743
1877,86,1758
1878,86,1791
1879,86,2019
1880,86,2037
1881,86,2129
1882,86,2433
1883,86,2592
1884,86,2626
1885,86,2803
1886,86,2832
1887,86,3000
1888,86,3236
1889,86,3443
1890,86,3452
1891,86,3461
1892,87,11
1893,87,127
1894,87,286
1895,87,619
1896,87,769
1897,87,863
1898,87,937
1899,87,1064
1900,87,1164
1901,87,1492
1902,87,1833
1903,87,1858
1904,87,2222
1905,87,2419
1906,87,2517
1907,87,2611
1908,87,2645
1909,87,2755
1910,87,3273
1911,87,3381
1912,87,3544
1913,87,3693
1914,87,3786
1915,88,168
1916,88,676
1917,88,864
1918,88,1114
1919,88,1320
1920,88,1420
1921,88,1452
1922,88,1458
1923,88,1769
1924,88,1919
1925,88,1958
1926,88,2062
1927,88,2445
1928,88,2484
1929,88,2490
1930,88,2729
